ordernumber date status total shipping
#59824 2022-02-04 Completed "$94.00 for 6 items" "In-store pickup"
#59105 2022-01-16 Completed "$68.00 for 4 items" FedEx
#57289 2021-12-02 Processing "$122.95 for 8 items" "In-store pickup"
#55384 2021-10-12 Completed "$128.00 for 7 items" USPS
#53583 2021-08-27 Completed "$96.00 for 6 items" USPS
#50692 2021-06-26 Completed "$119.90 for 8 items" "In-store pickup"
#47549 2021-05-12 Completed "$93.90 for 6 items" USPS
#42734 2021-03-09 Completed "$113.60 for 8 items" FedEx
#39411 2021-01-26 Completed "$89.75 for 6 items" USPS
#34927 2020-12-08 Completed "$106.85 for 7 items" FedEx
